"UserID","AverageRating","Gender"
1,3.61029411764706,"M"
2,3.70967741935484,"F"
3,2.7962962962963,"M"
4,4.33333333333333,"M"
5,2.87428571428571,"F"
6,3.63507109004739,"M"
7,3.96526054590571,"M"
8,3.79661016949153,"M"
9,4.27272727272727,"M"
10,4.20652173913043,"M"
11,3.46408839779006,"F"
12,4.3921568627451,"F"
13,3.09748427672956,"M"
14,4.09183673469388,"M"
15,2.875,"F"
16,4.32857142857143,"M"
17,3.03571428571429,"M"
18,3.88086642599278,"F"
19,3.55,"M"
20,3.10416666666667,"F"
21,2.67039106145251,"M"
22,3.3515625,"M"
23,3.63576158940397,"F"
24,4.32352941176471,"F"
25,4.05128205128205,"M"
26,2.94392523364486,"M"
27,3.24,"F"
28,3.72151898734177,"M"
29,3.64705882352941,"M"
30,3.76744186046512,"M"
31,3.91666666666667,"M"
32,3.31707317073171,"F"
33,3.70833333333333,"M"
34,4.05,"F"
35,3,"F"
36,3.8,"F"
37,3.64912280701754,"M"
38,3.71900826446281,"F"
39,3.77272727272727,"M"
40,2.88571428571429,"M"
41,3.76923076923077,"M"
42,3.72677595628415,"M"
43,3.710407239819,"F"
44,3.64900662251656,"M"
45,3.60416666666667,"M"
46,4.11111111111111,"F"
47,3.64,"M"
48,3.78787878787879,"M"
49,2.68372093023256,"F"
50,3.54166666666667,"M"
51,3.56521739130435,"M"
52,4.26785714285714,"F"
53,3.82142857142857,"M"
54,3.69230769230769,"M"
55,3.28571428571429,"M"
56,3.64171122994652,"M"
57,3.5,"M"
58,3.83766233766234,"M"
59,3.93455497382199,"M"
60,4.08653846153846,"M"
61,2.95238095238095,"M"
62,3.30172413793103,"F"
63,3.11827956989247,"M"
64,3.585,"M"
65,3.9375,"F"
66,3.47368421052632,"M"
67,3.76666666666667,"M"
68,3.02941176470588,"M"
69,3.84615384615385,"M"
70,3.46564885496183,"M"
71,3.78947368421053,"M"
72,3.81751824817518,"F"
73,3.72727272727273,"M"
74,3.64102564102564,"M"
75,3.27848101265823,"M"
76,3.5609756097561,"M"
77,3.61111111111111,"M"
78,3.38095238095238,"M"
79,4,"F"
80,3.75862068965517,"F"
81,3.29310344827586,"M"
82,3.07142857142857,"M"
83,3.41935483870968,"M"
84,3.85294117647059,"M"
85,3.53819444444444,"M"
86,3.52173913043478,"M"
87,3.7914691943128,"M"
88,3.95238095238095,"F"
89,4.03947368421053,"F"
90,4.22333333333333,"M"
91,3.88775510204082,"M"
92,3.24484536082474,"M"
93,3.35,"M"
94,3.6575,"M"
95,3.41726618705036,"M"
96,4.26785714285714,"F"
97,4.15873015873016,"M"
98,3.59259259259259,"F"
99,3.55147058823529,"M"
100,3.06779661016949,"M"
101,2.8955223880597,"M"
102,2.61574074074074,"M"
103,3.62068965517241,"M"
104,2.66666666666667,"M"
105,3.39130434782609,"M"
106,3.765625,"M"
107,3,"M"
108,3.57575757575758,"M"
109,3.44017094017094,"M"
110,3.04511278195489,"M"
111,3.54166666666667,"M"
112,3.69565217391304,"M"
113,3.72549019607843,"M"
114,3.60416666666667,"M"
115,3.93478260869565,"M"
116,3.00699300699301,"M"
117,3.91860465116279,"M"
118,4.66197183098592,"M"
119,3.95027624309392,"M"
120,3.57692307692308,"F"
121,3.60810810810811,"M"
122,3.98360655737705,"F"
123,3.85185185185185,"F"
124,3.5,"M"
125,3.43956043956044,"M"
126,3.53333333333333,"F"
127,4.1304347826087,"M"
128,3.66304347826087,"F"
129,2.6,"F"
130,3.98583569405099,"M"
131,4.13333333333333,"F"
132,3.77272727272727,"M"
133,3.19230769230769,"M"
134,3.64,"M"
135,3.38181818181818,"M"
136,4.34285714285714,"M"
137,4.31914893617021,"M"
138,4.27450980392157,"M"
139,4,"M"
140,3.42857142857143,"F"
141,3.42990654205607,"M"
142,3.63636363636364,"M"
143,3.9,"M"
144,3.6747572815534,"M"
145,3.33544303797468,"M"
146,3.62068965517241,"M"
147,4.2,"F"
148,4,"M"
149,2.88888888888889,"F"
150,3.84375,"F"
151,3.99674267100977,"F"
152,4.32075471698113,"F"
153,2.95652173913043,"M"
154,3.96078431372549,"M"
155,2.63636363636364,"F"
156,3.72972972972973,"M"
157,3.7843137254902,"M"
158,3.80346820809249,"M"
159,3.42990654205607,"F"
160,3.91666666666667,"M"
161,2.55172413793103,"M"
162,3.5952380952381,"M"
163,3.30434782608696,"M"
164,4.12698412698413,"M"
165,4,"F"
166,3.55,"M"
167,3.3768115942029,"M"
168,3.33333333333333,"M"
169,3.97297297297297,"F"
170,3.77272727272727,"F"
171,3.46428571428571,"F"
172,3.18518518518519,"M"
173,4.2093023255814,"M"
